,roundId,roundNumber,roundTimeMillis,killId,tradedByKillId,tradedForKillId,bombId,resId,playerId,assists,referencePlayerId,eventType,damageType,weapon,impact,attackingWinProbabilityBefore,attackingWinProbabilityAfter,attackingTeamId,matchId
2593,1231401,20,42453,9984585,,,,,750,"[{'assistId': 3635906, 'assistantId': 1690, 'damage': 120}]",2716,kill,weapon,Vandal,0.584273741,0.415726259,1,224,79018
39,1236841,4,88397,10022982,,,,,2716,"[{'assistId': 3650736, 'assistantId': 3211, 'damage': 80}]",2895,kill,ability,Headhunter,0.560206129,0.569145282,0.008939152,6344,79333
302,1236841,4,88397,10022982,,,,,2716,"[{'assistId': 3650736, 'assistantId': 3211, 'damage': 80}]",2895,kill,ability,Headhunter,0.560206129,0.569145282,0.008939152,6344,79334
565,1236841,4,88397,10022982,,,,,2716,"[{'assistId': 3650736, 'assistantId': 3211, 'damage': 80}]",2895,kill,ability,Headhunter,0.560206129,0.569145282,0.008939152,6344,79335
828,1236841,4,88397,10022982,,,,,2716,"[{'assistId': 3650736, 'assistantId': 3211, 'damage': 80}]",2895,kill,ability,Headhunter,0.560206129,0.569145282,0.008939152,6344,79336
2690,1230279,10,55543,9976615,,,,,3582,[],2359,kill,weapon,Vandal,0.556772903,0.570862894,0.014089991,17,78938
2866,1230279,10,55543,9976615,,,,,3582,[],2359,kill,weapon,Vandal,0.556772903,0.570862894,0.014089991,17,78939
3042,1230279,10,55543,9976615,,,,,3582,[],2359,kill,weapon,Vandal,0.556772903,0.570862894,0.014089991,17,78940
4226,1229107,17,42021,9968265,,,,,814,"[{'assistId': 3629395, 'assistantId': 1550, 'damage': 55}]",122,kill,weapon,Vandal,0.546274557,0.559799093,0.013524536,305,78837
4544,1229107,17,42021,9968265,,,,,814,"[{'assistId': 3629395, 'assistantId': 1550, 'damage': 55}]",122,kill,weapon,Vandal,0.546274557,0.559799093,0.013524536,305,78838
4739,1226565,4,85439,9950049,,,,,386,[],2841,kill,weapon,Vandal,0.536079727,0.764164192,0.228084465,6426,77106
5036,1226565,4,85439,9950049,,,,,386,[],2841,kill,weapon,Vandal,0.536079727,0.764164192,0.228084465,6426,77107
5333,1226565,4,85439,9950049,,,,,386,[],2841,kill,weapon,Vandal,0.536079727,0.764164192,0.228084465,6426,77108
2116,1231389,8,76049,9984487,,,,,17788,[],2841,kill,weapon,Phantom,0.523964407,0.801144244,0.277179837,6426,79016
2297,1231389,8,76049,9984487,,,,,17788,[],2841,kill,weapon,Phantom,0.523964407,0.801144244,0.277179837,6426,79017
2478,1231389,8,76049,9984487,,,,,17788,[],2841,kill,weapon,Phantom,0.523964407,0.801144244,0.277179837,6426,79018
4846,1226577,16,61879,9950133,,,,,2483,[],1919,kill,weapon,Vandal,0.486536106,0.632812886,0.146276781,15,77106
5143,1226577,16,61879,9950133,,,,,2483,[],1919,kill,weapon,Vandal,0.486536106,0.632812886,0.146276781,15,77107
5440,1226577,16,61879,9950133,,,,,2483,[],1919,kill,weapon,Vandal,0.486536106,0.632812886,0.146276781,15,77108
1803,1231283,8,18409,9983736,,9983734,,,2359,[],1550,kill,weapon,Sheriff,0.473433815,0.805348628,0.331914812,286,79010
1960,1231283,8,18409,9983736,,9983734,,,2359,[],1550,kill,weapon,Sheriff,0.473433815,0.805348628,0.331914812,286,79011
3766,1229917,15,75252,9974033,,9974040,,,1690,[],4075,kill,weapon,Phantom,0.465823008,0.534176992,1,224,78748
3981,1229917,15,75252,9974033,,9974040,,,1690,[],4075,kill,weapon,Phantom,0.465823008,0.534176992,1,224,78749
2106,1231388,7,102315,9984484,,,,,10211,"[{'assistId': 3635870, 'assistantId': 1690, 'damage': 140}]",2483,kill,ability,Headhunter,0.462128123,0.47243583,0.010307707,6426,79016
2287,1231388,7,102315,9984484,,,,,10211,"[{'assistId': 3635870, 'assistantId': 1690, 'damage': 140}]",2483,kill,ability,Headhunter,0.462128123,0.47243583,0.010307707,6426,79017
2468,1231388,7,102315,9984484,,,,,10211,"[{'assistId': 3635870, 'assistantId': 1690, 'damage': 140}]",2483,kill,ability,Headhunter,0.462128123,0.47243583,0.010307707,6426,79018
3755,1229916,14,91812,9974025,,,,,17788,"[{'assistId': 3631695, 'assistantId': 750, 'damage': 101}]",4070,kill,weapon,Spectre,0.459953288,0.540046712,1,224,78748
3970,1229916,14,91812,9974025,,,,,17788,"[{'assistId': 3631695, 'assistantId': 750, 'damage': 101}]",4070,kill,weapon,Spectre,0.459953288,0.540046712,1,224,78749
3761,1229917,15,45976,9974037,,,,,14484,[],10211,kill,weapon,Frenzy,0.459357124,0.656523173,0.197166049,224,78748
3976,1229917,15,45976,9974037,,,,,14484,[],10211,kill,weapon,Frenzy,0.459357124,0.656523173,0.197166049,224,78749
2632,1230274,5,9841,9976576,,,,,3043,"[{'assistId': 3632684, 'assistantId': 2359, 'damage': 0}, {'assistId': 3632683, 'assistantId': 1256, 'damage': 0}]",3062,kill,weapon,Spectre,0.456446491,0.170592795,0.627039286,17,78938
2808,1230274,5,9841,9976576,,,,,3043,"[{'assistId': 3632684, 'assistantId': 2359, 'damage': 0}, {'assistId': 3632683, 'assistantId': 1256, 'damage': 0}]",3062,kill,weapon,Spectre,0.456446491,0.170592795,0.627039286,17,78939
2984,1230274,5,9841,9976576,,,,,3043,"[{'assistId': 3632684, 'assistantId': 2359, 'damage': 0}, {'assistId': 3632683, 'assistantId': 1256, 'damage': 0}]",3062,kill,weapon,Spectre,0.456446491,0.170592795,0.627039286,17,78940
4234,1229108,18,68470,9968275,,,,,1550,[],1012,kill,weapon,Phantom,0.449699095,0.816405679,0.366706584,305,78837
4552,1229108,18,68470,9968275,,,,,1550,[],1012,kill,weapon,Phantom,0.449699095,0.816405679,0.366706584,305,78838
3283,1230207,19,98743,9976108,,,,,2423,[],718,kill,weapon,Operator,0.447060381,0.552939619,1,1264,78840
3456,1230207,19,98743,9976108,,,,,2423,[],718,kill,weapon,Operator,0.447060381,0.552939619,1,1264,78841
3629,1230207,19,98743,9976108,,,,,2423,[],718,kill,weapon,Operator,0.447060381,0.552939619,1,1264,78842
4113,1229095,5,108087,9968184,,,,,122,[],452,kill,weapon,Phantom,0.431617404,0.661411069,0.229793665,286,78837
4431,1229095,5,108087,9968184,,,,,122,[],452,kill,weapon,Phantom,0.431617404,0.661411069,0.229793665,286,78838
49,1236842,5,42723,10022994,,,,,3211,[],2294,kill,weapon,Vandal,0.430372433,0.631436726,0.201064293,6344,79333
312,1236842,5,42723,10022994,,,,,3211,[],2294,kill,weapon,Vandal,0.430372433,0.631436726,0.201064293,6344,79334
575,1236842,5,42723,10022994,,,,,3211,[],2294,kill,weapon,Vandal,0.430372433,0.631436726,0.201064293,6344,79335
838,1236842,5,42723,10022994,,,,,3211,[],2294,kill,weapon,Vandal,0.430372433,0.631436726,0.201064293,6344,79336
2136,1231391,10,78257,9984508,,,,,10211,[],398,kill,ability,Tour de Force,0.429307246,0.733148275,0.303841029,6426,79016
2317,1231391,10,78257,9984508,,,,,10211,[],398,kill,ability,Tour de Force,0.429307246,0.733148275,0.303841029,6426,79017
2498,1231391,10,78257,9984508,,,,,10211,[],398,kill,ability,Tour de Force,0.429307246,0.733148275,0.303841029,6426,79018
3172,1230194,6,38636,9976032,9976029,,,,6038,"[{'assistId': 3632472, 'assistantId': 2752, 'damage': 101}]",14543,kill,weapon,Sheriff,0.428706537,0.760102748,0.331396211,1625,78840
3345,1230194,6,38636,9976032,9976029,,,,6038,"[{'assistId': 3632472, 'assistantId': 2752, 'damage': 101}]",14543,kill,weapon,Sheriff,0.428706537,0.760102748,0.331396211,1625,78841
3518,1230194,6,38636,9976032,9976029,,,,6038,"[{'assistId': 3632472, 'assistantId': 2752, 'damage': 101}]",14543,kill,weapon,Sheriff,0.428706537,0.760102748,0.331396211,1625,78842
123,1236851,14,70733,10023052,,,,,2294,"[{'assistId': 3650754, 'assistantId': 2895, 'damage': 70}]",3211,kill,weapon,Spectre,0.418199869,0.859075817,0.440875948,6426,79333
386,1236851,14,70733,10023052,,,,,2294,"[{'assistId': 3650754, 'assistantId': 2895, 'damage': 70}]",3211,kill,weapon,Spectre,0.418199869,0.859075817,0.440875948,6426,79334
649,1236851,14,70733,10023052,,,,,2294,"[{'assistId': 3650754, 'assistantId': 2895, 'damage': 70}]",3211,kill,weapon,Spectre,0.418199869,0.859075817,0.440875948,6426,79335
912,1236851,14,70733,10023052,,,,,2294,"[{'assistId': 3650754, 'assistantId': 2895, 'damage': 70}]",3211,kill,weapon,Spectre,0.418199869,0.859075817,0.440875948,6426,79336
166,1236856,19,37560,10023083,,,,,2895,[],2716,kill,weapon,Sheriff,0.417953312,0.747033457,0.329080145,6426,79333
429,1236856,19,37560,10023083,,,,,2895,[],2716,kill,weapon,Sheriff,0.417953312,0.747033457,0.329080145,6426,79334
692,1236856,19,37560,10023083,,,,,2895,[],2716,kill,weapon,Sheriff,0.417953312,0.747033457,0.329080145,6426,79335
955,1236856,19,37560,10023083,,,,,2895,[],2716,kill,weapon,Sheriff,0.417953312,0.747033457,0.329080145,6426,79336
2221,1231400,19,50544,9984573,,9984575,,,2483,[],2056,kill,weapon,Vandal,0.415016192,0.415016192,0,224,79016
2402,1231400,19,50544,9984573,,9984575,,,2483,[],2056,kill,weapon,Vandal,0.415016192,0.415016192,0,224,79017
2583,1231400,19,50544,9984573,,9984575,,,2483,[],2056,kill,weapon,Vandal,0.415016192,0.415016192,0,224,79018
1787,1231281,6,75041,9983724,,9983718,,,3043,"[{'assistId': 3635556, 'assistantId': 2359, 'damage': 80}]",1550,kill,weapon,Operator,0.414224586,0.646806948,0.232582363,286,79010
1944,1231281,6,75041,9983724,,9983718,,,3043,"[{'assistId': 3635556, 'assistantId': 2359, 'damage': 80}]",1550,kill,weapon,Operator,0.414224586,0.646806948,0.232582363,286,79011
4136,1229097,7,55806,9968198,,,,,452,[],2354,kill,weapon,Vandal,0.408889255,0.591110745,1,286,78837
4454,1229097,7,55806,9968198,,,,,452,[],2354,kill,weapon,Vandal,0.408889255,0.591110745,1,286,78838
4338,1229119,29,101680,9968357,,,,,2354,"[{'assistId': 3629438, 'assistantId': 269, 'damage': 99}]",814,kill,weapon,Vandal,0.408256028,0.617572783,0.209316755,286,78837
4656,1229119,29,101680,9968357,,,,,2354,"[{'assistId': 3629438, 'assistantId': 269, 'damage': 99}]",814,kill,weapon,Vandal,0.408256028,0.617572783,0.209316755,286,78838
3759,1229917,15,20254,9974039,,,,,4077,[],17788,kill,ability,Headhunter,0.406574202,0.791996548,0.385422346,224,78748
3974,1229917,15,20254,9974039,,,,,4077,[],17788,kill,ability,Headhunter,0.406574202,0.791996548,0.385422346,224,78749
4208,1229106,16,31223,9968255,,,,,582,"[{'assistId': 3629388, 'assistantId': 452, 'damage': 0}]",269,kill,weapon,Sheriff,0.406572375,0.774022168,0.367449793,305,78837
4526,1229106,16,31223,9968255,,,,,582,"[{'assistId': 3629388, 'assistantId': 452, 'damage': 0}]",269,kill,weapon,Sheriff,0.406572375,0.774022168,0.367449793,305,78838
4808,1226573,12,49195,9950101,,,,,217,[],398,kill,weapon,Vandal,0.406287032,0.691013514,0.284726481,6426,77106
5105,1226573,12,49195,9950101,,,,,217,[],398,kill,weapon,Vandal,0.406287032,0.691013514,0.284726481,6426,77107
5402,1226573,12,49195,9950101,,,,,217,[],398,kill,weapon,Vandal,0.406287032,0.691013514,0.284726481,6426,77108
3250,1230204,16,25054,9976083,,,,,2011,"[{'assistId': 3632495, 'assistantId': 76, 'damage': 0}]",2749,kill,weapon,Marshal,0.405235023,0.658815917,0.253580893,1264,78840
3423,1230204,16,25054,9976083,,,,,2011,"[{'assistId': 3632495, 'assistantId': 76, 'damage': 0}]",2749,kill,weapon,Marshal,0.405235023,0.658815917,0.253580893,1264,78841
3596,1230204,16,25054,9976083,,,,,2011,"[{'assistId': 3632495, 'assistantId': 76, 'damage': 0}]",2749,kill,weapon,Marshal,0.405235023,0.658815917,0.253580893,1264,78842
4102,1229094,4,77673,9968171,,9968169,,,269,"[{'assistId': 3629356, 'assistantId': 1012, 'damage': 78}]",452,kill,weapon,Vandal,0.4046804,0.628030638,0.223350238,286,78837
4420,1229094,4,77673,9968171,,9968169,,,269,"[{'assistId': 3629356, 'assistantId': 1012, 'damage': 78}]",452,kill,weapon,Vandal,0.4046804,0.628030638,0.223350238,286,78838
3757,1229917,15,10657,9974038,9974034,,,,4070,[],750,kill,weapon,Classic,0.404634791,0.894320144,0.489685353,224,78748
3972,1229917,15,10657,9974038,9974034,,,,4070,[],750,kill,weapon,Classic,0.404634791,0.894320144,0.489685353,224,78749
2137,1231391,10,81577,9984501,,,,,1690,[],2716,kill,weapon,Phantom,0.404420226,0.415150226,0.010730001,6426,79016
2318,1231391,10,81577,9984501,,,,,1690,[],2716,kill,weapon,Phantom,0.404420226,0.415150226,0.010730001,6426,79017
2499,1231391,10,81577,9984501,,,,,1690,[],2716,kill,weapon,Phantom,0.404420226,0.415150226,0.010730001,6426,79018
3256,1230204,16,64095,9976087,,,,,2423,"[{'assistId': 3632498, 'assistantId': 2752, 'damage': 70}]",2011,kill,weapon,Vandal,0.39873919,0.411907094,0.810646284,1264,78840
3429,1230204,16,64095,9976087,,,,,2423,"[{'assistId': 3632498, 'assistantId': 2752, 'damage': 70}]",2011,kill,weapon,Vandal,0.39873919,0.411907094,0.810646284,1264,78841
3602,1230204,16,64095,9976087,,,,,2423,"[{'assistId': 3632498, 'assistantId': 2752, 'damage': 70}]",2011,kill,weapon,Vandal,0.39873919,0.411907094,0.810646284,1264,78842
164,1236856,19,19134,10023085,10023080,,,,2294,[],398,kill,weapon,Stinger,0.397315061,0.858764475,0.461449414,6426,79333
427,1236856,19,19134,10023085,10023080,,,,2294,[],398,kill,weapon,Stinger,0.397315061,0.858764475,0.461449414,6426,79334
690,1236856,19,19134,10023085,10023080,,,,2294,[],398,kill,weapon,Stinger,0.397315061,0.858764475,0.461449414,6426,79335
953,1236856,19,19134,10023085,10023080,,,,2294,[],398,kill,weapon,Stinger,0.397315061,0.858764475,0.461449414,6426,79336
3816,1229924,22,42950,9974079,,,,,1690,[],14484,kill,weapon,Vandal,0.395071083,0.204906414,0.599977497,224,78748
4031,1229924,22,42950,9974079,,,,,1690,[],14484,kill,weapon,Vandal,0.395071083,0.204906414,0.599977497,224,78749
2126,1231390,9,42681,9984496,,,,,17788,[],2483,kill,weapon,Phantom,0.391522271,0.555113172,0.163590901,6426,79016
2307,1231390,9,42681,9984496,,,,,17788,[],2483,kill,weapon,Phantom,0.391522271,0.555113172,0.163590901,6426,79017
2488,1231390,9,42681,9984496,,,,,17788,[],2483,kill,weapon,Phantom,0.391522271,0.555113172,0.163590901,6426,79018
4115,1229095,5,111850,9968177,,,,,582,"[{'assistId': 3629358, 'assistantId': 452, 'damage': 0}]",122,kill,weapon,Vandal,0.390371077,0.609628923,1,286,78837
4433,1229095,5,111850,9968177,,,,,582,"[{'assistId': 3629358, 'assistantId': 452, 'damage': 0}]",122,kill,weapon,Vandal,0.390371077,0.609628923,1,286,78838
3174,1230194,6,46693,9976030,,,,,6039,[],2011,kill,weapon,Marshal,0.389581444,0.611917298,0.222335854,1625,78840
3347,1230194,6,46693,9976030,,,,,6039,[],2011,kill,weapon,Marshal,0.389581444,0.611917298,0.222335854,1625,78841
3520,1230194,6,46693,9976030,,,,,6039,[],2011,kill,weapon,Marshal,0.389581444,0.611917298,0.222335854,1625,78842
4740,1226565,4,92939,9950050,,,,,386,"[{'assistId': 3622357, 'assistantId': 217, 'damage': 120}]",3211,kill,weapon,Vandal,0.38951896,0.40163644,0.01211748,6426,77106
5037,1226565,4,92939,9950050,,,,,386,"[{'assistId': 3622357, 'assistantId': 217, 'damage': 120}]",3211,kill,weapon,Vandal,0.38951896,0.40163644,0.01211748,6426,77107
5334,1226565,4,92939,9950050,,,,,386,"[{'assistId': 3622357, 'assistantId': 217, 'damage': 120}]",3211,kill,weapon,Vandal,0.38951896,0.40163644,0.01211748,6426,77108
3829,1229925,23,56554,9974088,,,,,4070,[],750,kill,weapon,Vandal,0.385343812,0.510183698,0.124839886,224,78748
4044,1229925,23,56554,9974088,,,,,4070,[],750,kill,weapon,Vandal,0.385343812,0.510183698,0.124839886,224,78749
4764,1226568,7,52476,9950071,,,,,3365,[],3211,kill,weapon,Vandal,0.383769743,0.507319374,0.12354963,6426,77106
5061,1226568,7,52476,9950071,,,,,3365,[],3211,kill,weapon,Vandal,0.383769743,0.507319374,0.12354963,6426,77107
5358,1226568,7,52476,9950071,,,,,3365,[],3211,kill,weapon,Vandal,0.383769743,0.507319374,0.12354963,6426,77108
4282,1229113,23,29833,9968314,,,,,1550,[],269,kill,weapon,Operator,0.378640914,0.495909558,0.117268644,305,78837
4600,1229113,23,29833,9968314,,,,,1550,[],269,kill,weapon,Operator,0.378640914,0.495909558,0.117268644,305,78838
3742,1229915,13,100924,9974017,,,,,14484,"[{'assistId': 3631690, 'assistantId': 4077, 'damage': 52}]",750,kill,weapon,Frenzy,0.376245683,0.61318802,0.236942337,224,78748
3957,1229915,13,100924,9974017,,,,,14484,"[{'assistId': 3631690, 'assistantId': 4077, 'damage': 52}]",750,kill,weapon,Frenzy,0.376245683,0.61318802,0.236942337,224,78749
34,1236841,4,40842,10022980,,,,,2483,"[{'assistId': 3650735, 'assistantId': 398, 'damage': 74}]",4748,kill,weapon,Vandal,0.376086357,0.464152986,0.088066629,6344,79333
297,1236841,4,40842,10022980,,,,,2483,"[{'assistId': 3650735, 'assistantId': 398, 'damage': 74}]",4748,kill,weapon,Vandal,0.376086357,0.464152986,0.088066629,6344,79334
560,1236841,4,40842,10022980,,,,,2483,"[{'assistId': 3650735, 'assistantId': 398, 'damage': 74}]",4748,kill,weapon,Vandal,0.376086357,0.464152986,0.088066629,6344,79335
823,1236841,4,40842,10022980,,,,,2483,"[{'assistId': 3650735, 'assistantId': 398, 'damage': 74}]",4748,kill,weapon,Vandal,0.376086357,0.464152986,0.088066629,6344,79336
4114,1229095,5,110648,9968176,,,,,582,[],763,kill,weapon,Vandal,0.375782068,0.233846855,0.609628923,286,78837
4432,1229095,5,110648,9968176,,,,,582,[],763,kill,weapon,Vandal,0.375782068,0.233846855,0.609628923,286,78838
4160,1229100,10,100692,9968217,9968216,,,,763,[],1550,kill,weapon,Vandal,0.373615555,0.464471882,0.090856327,286,78837
4478,1229100,10,100692,9968217,9968216,,,,763,[],1550,kill,weapon,Vandal,0.373615555,0.464471882,0.090856327,286,78838
2230,1231401,20,38882,9984582,,,,,2716,[],10211,kill,weapon,Vandal,0.371345818,0.787072077,0.415726259,224,79016
2411,1231401,20,38882,9984582,,,,,2716,[],10211,kill,weapon,Vandal,0.371345818,0.787072077,0.415726259,224,79017
2592,1231401,20,38882,9984582,,,,,2716,[],10211,kill,weapon,Vandal,0.371345818,0.787072077,0.415726259,224,79018
26,1236840,3,41074,10022973,,,,,2483,[],2294,kill,weapon,Vandal,0.367917146,0.590213761,0.222296615,6344,79333
289,1236840,3,41074,10022973,,,,,2483,[],2294,kill,weapon,Vandal,0.367917146,0.590213761,0.222296615,6344,79334
552,1236840,3,41074,10022973,,,,,2483,[],2294,kill,weapon,Vandal,0.367917146,0.590213761,0.222296615,6344,79335
815,1236840,3,41074,10022973,,,,,2483,[],2294,kill,weapon,Vandal,0.367917146,0.590213761,0.222296615,6344,79336
2645,1230275,6,24606,9976582,,,,,3582,[],2225,kill,weapon,Vandal,0.366295435,0.488829315,0.12253388,17,78938
2821,1230275,6,24606,9976582,,,,,3582,[],2225,kill,weapon,Vandal,0.366295435,0.488829315,0.12253388,17,78939
2997,1230275,6,24606,9976582,,,,,3582,[],2225,kill,weapon,Vandal,0.366295435,0.488829315,0.12253388,17,78940
4260,1229110,20,95933,9968295,,,,,1012,[],582,kill,weapon,Phantom,0.363481422,0.636518578,1,305,78837
4578,1229110,20,95933,9968295,,,,,1012,[],582,kill,weapon,Phantom,0.363481422,0.636518578,1,305,78838
2666,1230277,8,37956,9976595,,9976599,,,3346,[],3043,kill,weapon,Vandal,0.363037354,0.485571233,0.12253388,17,78938
2842,1230277,8,37956,9976595,,9976599,,,3346,[],3043,kill,weapon,Vandal,0.363037354,0.485571233,0.12253388,17,78939
3018,1230277,8,37956,9976595,,9976599,,,3346,[],3043,kill,weapon,Vandal,0.363037354,0.485571233,0.12253388,17,78940
2733,1230284,15,2622,9976653,,,,,1256,[],3582,kill,weapon,Vandal,0.362664928,0.633092209,0.270427281,603,78938
2909,1230284,15,2622,9976653,,,,,1256,[],3582,kill,weapon,Vandal,0.362664928,0.633092209,0.270427281,603,78939
3085,1230284,15,2622,9976653,,,,,1256,[],3582,kill,weapon,Vandal,0.362664928,0.633092209,0.270427281,603,78940
2129,1231391,10,14400,9984503,,,,,2483,[],2056,kill,ability,Hunters Fury,0.362635497,0.396679668,0.759315166,6426,79016
2310,1231391,10,14400,9984503,,,,,2483,[],2056,kill,ability,Hunters Fury,0.362635497,0.396679668,0.759315166,6426,79017
2491,1231391,10,14400,9984503,,,,,2483,[],2056,kill,ability,Hunters Fury,0.362635497,0.396679668,0.759315166,6426,79018
4134,1229097,7,47661,9968193,,,,,2354,[],582,kill,weapon,Operator,0.361224951,0.605928786,0.244703835,286,78837
4452,1229097,7,47661,9968193,,,,,2354,[],582,kill,weapon,Operator,0.361224951,0.605928786,0.244703835,286,78838
3233,1230202,14,13744,9976071,,,,,2937,"[{'assistId': 3632493, 'assistantId': 718, 'damage': 0}]",2749,kill,ability,Headhunter,0.360874532,0.666503447,0.305628915,1264,78840
3406,1230202,14,13744,9976071,,,,,2937,"[{'assistId': 3632493, 'assistantId': 718, 'damage': 0}]",2749,kill,ability,Headhunter,0.360874532,0.666503447,0.305628915,1264,78841
3579,1230202,14,13744,9976071,,,,,2937,"[{'assistId': 3632493, 'assistantId': 718, 'damage': 0}]",2749,kill,ability,Headhunter,0.360874532,0.666503447,0.305628915,1264,78842
2618,1230272,3,74632,9976557,,,,,3346,"[{'assistId': 3632676, 'assistantId': 3582, 'damage': 88}, {'assistId': 3632675, 'assistantId': 1802, 'damage': 50}]",1256,kill,ability,Shock Dart,0.360147417,0.678500173,0.318352756,17,78938
2794,1230272,3,74632,9976557,,,,,3346,"[{'assistId': 3632676, 'assistantId': 3582, 'damage': 88}, {'assistId': 3632675, 'assistantId': 1802, 'damage': 50}]",1256,kill,ability,Shock Dart,0.360147417,0.678500173,0.318352756,17,78939
2970,1230272,3,74632,9976557,,,,,3346,"[{'assistId': 3632676, 'assistantId': 3582, 'damage': 88}, {'assistId': 3632675, 'assistantId': 1802, 'damage': 50}]",1256,kill,ability,Shock Dart,0.360147417,0.678500173,0.318352756,17,78940
5603,1227684,1,50330,9958163,,,,,4748,[],2841,kill,weapon,Sheriff,0.359152374,0.563513138,0.204360764,6426,78781
5773,1227684,1,50330,9958163,,,,,4748,[],2841,kill,weapon,Sheriff,0.359152374,0.563513138,0.204360764,6426,78782
5943,1227684,1,50330,9958163,,,,,4748,[],2841,kill,weapon,Sheriff,0.359152374,0.563513138,0.204360764,6426,78783
4845,1226577,16,59810,9950132,,,,,2483,[],3365,kill,weapon,Vandal,0.357888451,0.80431739,0.446428938,15,77106
5142,1226577,16,59810,9950132,,,,,2483,[],3365,kill,weapon,Vandal,0.357888451,0.80431739,0.446428938,15,77107
5439,1226577,16,59810,9950132,,,,,2483,[],3365,kill,weapon,Vandal,0.357888451,0.80431739,0.446428938,15,77108
4225,1229107,17,37709,9968272,,9968266,,,122,[],1550,kill,weapon,Phantom,0.354835547,0.204963547,0.559799093,305,78837
4543,1229107,17,37709,9968272,,9968266,,,122,[],1550,kill,weapon,Phantom,0.354835547,0.204963547,0.559799093,305,78838
33,1236841,4,31211,10022984,,,,,2895,"[{'assistId': 3650738, 'assistantId': 6037, 'damage': 70}]",2841,kill,weapon,Sheriff,0.353521769,0.110631217,0.464152986,6344,79333
296,1236841,4,31211,10022984,,,,,2895,"[{'assistId': 3650738, 'assistantId': 6037, 'damage': 70}]",2841,kill,weapon,Sheriff,0.353521769,0.110631217,0.464152986,6344,79334
559,1236841,4,31211,10022984,,,,,2895,"[{'assistId': 3650738, 'assistantId': 6037, 'damage': 70}]",2841,kill,weapon,Sheriff,0.353521769,0.110631217,0.464152986,6344,79335
822,1236841,4,31211,10022984,,,,,2895,"[{'assistId': 3650738, 'assistantId': 6037, 'damage': 70}]",2841,kill,weapon,Sheriff,0.353521769,0.110631217,0.464152986,6344,79336
4766,1226568,7,85029,9950066,,9950068,,,217,[],2483,kill,weapon,Vandal,0.35219066,0.35219066,0,6426,77106
5063,1226568,7,85029,9950066,,9950068,,,217,[],2483,kill,weapon,Vandal,0.35219066,0.35219066,0,6426,77107
5360,1226568,7,85029,9950066,,9950068,,,217,[],2483,kill,weapon,Vandal,0.35219066,0.35219066,0,6426,77108
